window_size,epochs,batch_size,validation_split,train_test_split,data_set_size,features,total_directional_accuracy,directional_accuracy_of_small_moves,directional_accuracy_of_large_moves
60,5,100,0.1,0.8,2000,False,0.5288220551378446,0.55,0.52
60,10,100,0.1,0.8,2000,False,0.5037593984962406,0.48,0.45
60,15,100,0.1,0.8,2000,False,0.5213032581453634,0.51,0.47
60,20,100,0.1,0.8,2000,False,0.5413533834586466,0.58,0.48
60,30,100,0.1,0.8,2000,False,0.5263157894736842,0.58,0.47
60,50,100,0.1,0.8,2000,False,0.5263157894736842,0.52,0.5
