window_size,epochs,batch_size,validation_split,train_test_split,data_set_size,features,total_directional_accuracy,directional_accuracy_of_small_moves,directional_accuracy_of_large_moves
5,15,500,0.1,0.8,2200,False,0.5148063781321185,0.5818181818181818,0.4909090909090909
10,15,500,0.1,0.8,2200,False,0.4715261958997722,0.4272727272727272,0.4727272727272727
20,15,500,0.1,0.8,2200,False,0.5261958997722096,0.5272727272727272,0.4818181818181818
30,15,500,0.1,0.8,2200,False,0.4715261958997722,0.4636363636363636,0.4909090909090909
60,15,500,0.1,0.8,2200,False,0.4669703872437357,0.4272727272727272,0.4454545454545454
100,15,500,0.1,0.8,2200,False,0.5011389521640092,0.5363636363636364,0.4818181818181818
